Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-08-28,UT,Amerinox,"Camden, NJ",Rick,C209070,,"SSH 316L X4 4228 REF 12ga x 48"" x 96""/ 120"""," 9,980lbs",2024-09-18,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-23,Y,Y,Y
2024-09-17,MD,Ta Chen,"Burlington, NJ",Andrew,P215610,,"316L,  1/4""  X 96"" X 240""","7,000lbs",,,,,,Y,Y,Y
2024-09-11,MD,Amerinox,"Camden, NJ",Rick,C209104,"D,E",SPL 304L 1/4 x 48 x 96 / 120,"10,000lbs",,,,,,Y,Y,Y
2024-09-11,SM,Ta Chen,"Burlington, NJ",Andrew,P215580,,"316l, 5/8 / 1/2""  X 96"" X 240""","11,225lbs",,,,,,Y,Y,Y
2024-09-17,BL,Kingmaker,"Somerset, NJ",Vera,P215609,,"3"" x  3"" x  3/16"" x 20","1,000lbs",2024-09-19,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-23,Y,Y,Y
2024-09-04,UT,Amerinox,"Camden, NJ",Rick,C209080,,"SSH 316L X4 4228 REF 14ga x 48"" x 96""/ 120"" ","21,450lbs",,,,,,Y,Y,Y
2024-09-16,UT,Amerinox,"Camden, NJ",Rick,C209111,,"SPL 316L HRAP NO PAPER 3/16"" x 48"" x 96""/ 120"" ","20,190lbs",,,,,,Y,Y,Y
2024-09-13,MD,Amerinox,"Camden, NJ",Rick,C209112,,"304L HRAP, 1/4"" X 60 X 120 / 144","21,835lbs",2024-09-24,Formule Transit,"Lacolle, QC","$1,500.00",2024-09-26,Y,Y,Y
2024-09-18,MD,Phoenix,"Bethlehem, PA",Illy,P215616,,"304, 6"" x 3"" x 3/8"" x 20'",850lbs,,,,,,Y,Y,Y
2024-09-17,BL,Kingmaker,"Somerset, NJ",Vera,P215622,,"SRT 304 X4 2"" x 3"" x 1/8"" x 20'","3,715lbs",,,,,,Y,Y,Y
2024-09-06,UT,Amerinox,"Camden, NJ",Rick,C209093,,"SSH 304L 2B 4228 REF 11ga x 72"" x 120""","12,632lbs",2024-09-25,Formule Transit,"Lacolle, QC","$1,400.00",2024-09-30,Y,Y,Y
2024-09-23,CT,Ta Chen,"Burlington, NJ",Andrew,P215634,,"316L,  1/4""  X 96"" X 240""","7,000lbs",,,,,,Y,Y,Y
2024-08-29,SMD,Rigidized Metals,"Buffalo, NY",Susanne,P215532,,"304 2B, 14ga x 48"" x 120""",600lbs,2024-09-25,DVL,-,$695.00,2024-10-01,Y,Y,Y
2024-09-10,AA,Rigidized Metals,"Buffalo, NY",Susanne,P215574,,"304 #4 5WL2 16ga x 48"" x 96""",100lbs,,,,,,Y,Y,Y
